Transaction Date,Customer ID,Contractor ID,Service Code,Shift Total
2/5/2018,324,18247,UN,12
2/6/2018,324,18247,UN,12
2/7/2018,324,18247,UN,12
2/8/2018,324,18247,UN,12
2/9/2018,324,18247,UN,12
1/29/2018,325,44747,UN,3.5
1/30/2018,325,44747,UN,3.5
1/31/2018,325,41350,UN,3.5
2/1/2018,325,41350,UN,3.5
2/2/2018,325,44747,UN,3.5
2/5/2018,325,44747,UN,3.5
2/6/2018,325,50962,UN,3.5
2/7/2018,325,50962,UN,3.5
2/8/2018,325,50962,UN,3.5
2/9/2018,325,44747,UN,3.5
1/29/2018,331,19484,UN,12
1/29/2018,331,48929,UN,12
1/29/2018,331,57987,UN,12
1/29/2018,331,66941,UN,12
1/29/2018,331,71247,UN,12
1/29/2018,331,81975,UN,12
1/29/2018,331,95747,UN,12
1/29/2018,331,98093,UN,12
1/30/2018,331,19484,UN,12
1/30/2018,331,27640,UN,12
1/30/2018,331,57987,UN,12
1/30/2018,331,66941,UN,12
1/30/2018,331,71247,UN,12
1/30/2018,331,81975,UN,12
1/30/2018,331,86682,UN,12
1/30/2018,331,98093,UN,12
1/31/2018,331,19484,UN,12
1/31/2018,331,48929,UN,12
1/31/2018,331,57987,UN,12
1/31/2018,331,66941,UN,12
1/31/2018,331,71247,UN,12
1/31/2018,331,81975,UN,12
1/31/2018,331,95747,UN,12
1/31/2018,331,98093,UN,12
2/1/2018,331,48929,UN,12
2/1/2018,331,57987,UN,12
2/1/2018,331,66941,UN,12
2/1/2018,331,71247,UN,12
2/1/2018,331,81975,UN,12
2/1/2018,331,82211,UN,12
2/1/2018,331,95747,UN,12
2/1/2018,331,98093,UN,12
2/2/2018,331,19484,UN,12
2/2/2018,331,48929,UN,12
2/2/2018,331,57987,UN,12
2/2/2018,331,66941,UN,12
2/2/2018,331,71247,UN,12
2/2/2018,331,81975,UN,12
2/2/2018,331,95747,UN,12
2/2/2018,331,98093,UN,12
2/3/2018,331,57987,UN,12
2/3/2018,331,66941,UN,12
2/3/2018,331,95747,UN,12
2/4/2018,331,48929,UN,12
2/4/2018,331,98093,UN,12
2/5/2018,331,19484,UN,12
2/5/2018,331,48929,UN,12
2/5/2018,331,57987,UN,12
2/5/2018,331,66941,UN,12
2/5/2018,331,71247,UN,12
2/5/2018,331,81975,UN,12
2/5/2018,331,95747,UN,12
2/5/2018,331,98093,UN,12
2/6/2018,331,19484,UN,12
2/6/2018,331,27640,UN,12
2/6/2018,331,66941,UN,12
2/6/2018,331,71247,UN,12
2/6/2018,331,81975,UN,12
2/6/2018,331,86682,UN,12
2/6/2018,331,95747,UN,12
2/6/2018,331,98093,UN,12
2/7/2018,331,19484,UN,12
2/7/2018,331,27640,UN,12
2/7/2018,331,48929,UN,12
2/7/2018,331,57987,UN,12
2/7/2018,331,66941,UN,12
2/7/2018,331,71247,UN,12
2/7/2018,331,95747,UN,12
2/7/2018,331,98093,UN,12
2/8/2018,331,27640,UN,12
2/8/2018,331,48929,UN,12
2/8/2018,331,57987,UN,12
2/8/2018,331,66941,UN,12
2/8/2018,331,71247,UN,12
2/8/2018,331,81975,UN,12
2/8/2018,331,82211,UN,12
2/8/2018,331,95747,UN,12
2/9/2018,331,19484,UN,12
2/9/2018,331,27640,UN,12
2/9/2018,331,48929,UN,12
2/9/2018,331,57987,UN,12
2/9/2018,331,66941,UN,12
2/9/2018,331,81975,UN,12
2/9/2018,331,95747,UN,12
2/9/2018,331,98093,UN,12
2/10/2018,331,19484,UN,12
2/10/2018,331,48929,UN,12
2/10/2018,331,81975,UN,12
2/11/2018,331,48929,UN,12
